Interface,XSI,POSIX Base,U98,U95,P96 P92,C99,C89,SVID3,BSD,LSB 1.3,OpenVMS 7.3-2
getlogin_r(),m,tsf,m,.,t,.,.,.,.,.,m
getmsg(),o,xsr,m,m,.,.,.,m,.,.,.
getnameinfo(),m,m,.,.,.,.,.,.,.,libc,m
getnetbyaddr(),m,m,m,m,.,.,.,.,m,libc,m
getnetbyname(),m,m,m,m,.,.,.,.,m,.,m
getnetent(),m,m,m,m,.,.,.,.,m,.,m
getopt_long(),.,.,.,.,.,.,.,.,.,libc,.
getopt_long_only(),.,.,.,.,.,.,.,.,.,libc,.
getopt(),m,m,m,m,m,.,.,m,m,libc,m
__getpagesize(),.,.,.,.,.,.,.,.,.,libc,.
getpagesize(),.,.,.,.,.,.,.,.,.,libc,.
getpeername(),m,m,m,m,.,.,.,.,m,libc,m
__getpgid(),.,.,.,.,.,.,.,.,.,libc,.
getpgid(),m,xsi,m,m,.,.,.,m,.,libc,alpha
getpgrp(),m,m,m,m,m,.,.,m,m,libc,alpha
getpid(),m,m,m,m,m,.,.,m,m,libc,m
getpmsg(),o,xsr,m,m,.,.,.,m,.,.,.
getppid(),m,m,m,m,m,.,.,m,m,libc,m
getpriority(),m,xsi,m,m,.,.,.,.,m,libc,.
getprotobyname(),m,m,m,m,.,.,.,.,m,libc,m
getprotobynumber(),m,m,m,m,.,.,.,.,m,libc,m
getprotoent(),m,m,m,m,.,.,.,.,m,libc,m
getpwent(),m,xsi,m,m,.,.,.,m,m,libc,m
getpwnam(),m,m,m,m,m,.,.,m,m,libc,m
getpwnam_r(),m,tsf,m,.,t,.,.,.,.,libc,m
getpwuid(),m,m,m,m,m,.,.,m,m,libc,alpha
getpwuid_r(),m,tsf,m,.,t,.,.,.,.,libc,alpha
getrlimit64(),.,.,.,.,.,.,.,.,.,libc,.
getrlimit(),m,xsi,m,m,.,.,.,m,m,libc,.
getrusage(),m,xsi,m,m,.,.,.,.,m,libc,.
getservbyname(),m,m,m,m,.,.,.,.,m,libc,m
getservbyport(),m,m,m,m,.,.,.,.,m,libc,m
getservent(),m,m,m,m,.,.,.,.,m,libc,m
getsid(),m,xsi,m,m,.,.,.,m,.,libc,alpha
gets(),m,m,m,m,m,m,m,m,m,libc,m
getsockname(),m,m,m,m,.,.,.,.,m,libc,m
getsockopt(),m,m,m,m,.,.,.,.,m,libc,m
getsubopt(),m,xsi,m,m,.,.,.,m,.,libc,.
gettext(),.,.,.,.,.,.,.,.,.,libc,.
gettimeofday(),m,xsi,m,m,.,.,.,m,m,libc,m
